Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Channing, A.",,,,54885,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,54885,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,,"Tandy, M. and Keith, R.",,,,54885,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C. and Broadley, D.G.",,,,54885,,,29,,447-490,,,,Annals of the Natal Museum,,,,Amphibia Zambesiaca. 4. Bufonidae,Journal Article,,,1988
Assessment,,"","Broadley, D.G.","","",,54885,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,54885,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,"","Channing, A. and Griffin, M.","","",,54885,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54885,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,54885,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,54885,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,54885,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,,"Jacobsen, N.H.G.",,,,54885,,,,,,,"Unpublished PhD thesis, University of Natal, Durban",,,,,,A herpetological survey of the Transvaal,Book,,,1989
Assessment,,,"Tandy, M. and Tandy, J.",,,,54885,,,11,,349-368,,,,Zoologica Africana,,,,Evolution of acoustic behaviour in African Bufo,Journal Article,,,1976
Assessment,,"","Poynton, J.C.","","",,54885,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Poynton, J.C.","","",,54885,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Ruas, C.","","",,54885,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Stevens, R.A.","","",,54885,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,,"Bates, M.F. and Haacke, W.D.",,,,55273,,,,,101-158,,,,"Navorsinge van die Nasionale Museum, Bloemfontein",,,Published,The frogs of Lesotho: diversity and distribution,journal article,,19,2003
Assessment,,,"Lambiris, A.J.L.",,,,55273,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,55273,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,55273,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,55273,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,55273,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Grobler, J.P., Mafumo, H.B. and Minter, L.R.",,,,55273,,,31(9),,1023-1032,,,,Biochemical Systematics and Ecology,,,,"Genetic differentiation among five populations of the South African ghost frog, Heleophryne natalensis",Journal Article,,,2003
Assessment,,,"Channing, A.",,,,55274,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,55274,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,55274,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Boycott, R.C.",,,,55274,,,14,,89-108,,,,Ann. Cape Prov. Mus. (Nat. Hist.),,,,"On the taxonomic status of Heleophryne regis Hewitt, 1909 (Anura: Leptodactylidae)",Journal Article,,,1982
Assessment,,,"Visser, J.D.",,,,55274,,,,,,University of Natal,M.Sc dissertation,,,,,,The biosystematics of the <i>purcelli</i> group of the frog genus <i>Heleophryne</i> (Amphibia: Leptodactylidae),Book,,,1990
Assessment,,,"Visser, J.D.",,,,55274,,,25,,22-24,,,,African Wildlife,,,,Hunting the eggs of the ghost frog (Heleophryne purcelli orientalis FitzSimons),Journal Article,,,1971
Assessment,,,"Channing, A.",,,,55275,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,55275,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,55275,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Boycott, R.C.",,,,55275,,,14,,89-108,,,,Ann. Cape Prov. Mus. (Nat. Hist.),,,,"On the taxonomic status of Heleophryne regis Hewitt, 1909 (Anura: Leptodactylidae)",Journal Article,,,1982
Assessment,,,"Visser, J.D.",,,,55275,,,,,,University of Natal,M.Sc dissertation,,,,,,The biosystematics of the <i>purcelli</i> group of the frog genus <i>Heleophryne</i> (Amphibia: Leptodactylidae),Book,,,1990
Assessment,,,"Nakajima, T., Yasuhara, T., Erspamer, F. and Visser, J.",,,,55275,,,35,,1133,,,,Experienta,,,,Occurrence of Hyp3-bradykinin in methanol extracts of the skin of the South African leptodactylid frog Heleophryne purcelli,Journal Article,,,1979
Assessment,,,"Boycott, R.C.",,,,55275,,,35,,12-14,,,,Journal of Herpetological Association of Africa,,,,Evidence of tactile communication during courtship in Heleophryne (Anura: Heleopphrynidae),Journal Article,,,1988
Assessment,,,"Channing, A.",,,,55276,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,55276,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,55276,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Boycott, R.C.",,,,55276,,,14,,89-108,,,,Ann. Cape Prov. Mus. (Nat. Hist.),,,,"On the taxonomic status of Heleophryne regis Hewitt, 1909 (Anura: Leptodactylidae)",Journal Article,,,1982
Assessment,,,"Fitzsimons, V.F.M.",,,,55276,,,20,,351-377,,,,Annals of the Transvaal Museum,,,,"An account of the reptiles and amphibians collected on an expedition to the Cape Province, October to December, 1940",Journal Article,,,1946
Assessment,,,"Visser, J.D.",,,,55276,,,,,,University of Natal,M.Sc dissertation,,,,,,The biosystematics of the <i>purcelli</i> group of the frog genus <i>Heleophryne</i> (Amphibia: Leptodactylidae),Book,,,1990
Assessment,,"","Mercurio, Vincenzo ","","",,55279,9783899734959,"","","",393,"",Edition Chimaira,"","","","",Published,Amphibians of Malawi,book,"","",2011
Assessment,,,"Frétey, T. and Blanc, C.P.",,,,55279,,,,,,"Libreville, Gabon",ADIE,,,,,,Liste des Amphibiens d'Afrique Centrale,Book,,,2000
Assessment,,,"Channing, A. and Howell, K.M.",,,,55279,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Channing, A.",,,,55279,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,55279,"","","","",503-553,"","","",Annals of the Natal Museum,"","",Published,"Amphibia Zambesiaca. 1. Scolecomorphidae, Pipidae, Microhylidae, Hemisidae, Arthroleptidae",journal article,"",26,1985
Assessment,,"","Broadley, D.G.","","",,55279,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,"","Channing, A. and Griffin, M.","","",,55279,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Amiet, J.-L.",,,,55279,,,9(1),,15-22,,,,Alytes,,,,Images d'Amphibiens camerounais. III. Le comportement de garde des oeufs,Journal Article,,,1991
Assessment,,,"Amiet, J.-L.",,,,55279,,,132,,29-42,,,,Mémoires du Muséum National d'Histoire Naturelle,,,,La Batrachofaune sylvicole d'un secteur forestier du Cameroun: la région de Yaounde,Journal Article,,,1986
Assessment,,"","Inger, R.F.","","",,55279,"","","","",1-190,"","","",Expl. Parc Natn. Garamba,"","",Published,Amphibia,journal article,"",52,1968
Assessment,,,"Laurent, R.F.",,,,55279,,,194,,1-67,,,,"Annales Musée Royal de l'Afrique Centrale, Sciences Zoologiques",,,,Tentative revision of the genus <i>Hemisus</i> Gunther,Journal Article,,,1972
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,55279,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Rödel, M.-O. and Ernst, R.","","",,55279,"","","","",23-39,"","","",Herpetozoa,"","",Published,"The amphibians of Marahoué and Mont Péko National Parks, Ivory Coast",journal article,"",16,2003
Assessment,,"","Ruas, C.","","",,55279,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Laurent, R.F.","","",,55279,"","","","",1-125,"","","","Exploration du Parc National des Virunga, 2e Ser.","","",Published,Amphibiens,journal article,"",22,1972
Assessment,,"","Lanza, B.","","",,55281,"","","","",151-186,"","","",Monitore Zoologico Italiano N.S. Supplemento,"","",Published,A Checklist of the Somali amphibians,journal article,"",10,1981
Assessment,,,"Rödel, M.-O., Spieler, M., Grabow, K. and Böckheler, C.",,,,55281,,,45,,191-207,,,,Bonner Zoologische Beiträege,,,,"Hemisus marmoratus (Peters, 1854) (Anura: Hemisotidae), Fortpflanzungsstrategien eines Savannenfrosches",Journal Article,,,1995
Assessment,,,"Lambiris, A.J.L.",,,,55281,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Rödel, M.-O.",,,,55281,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Herpetofauna of the West Africa. Volume 1. Amphibians of the West African Savannas,Book,,,2000
Assessment,,,"Channing, A. and Howell, K.M.",,,,55281,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,55281,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,55281,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,55281,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Broadley, D.G.","","",,55281,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,"","Channing, A. and Griffin, M.","","",,55281,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,55281,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,55281,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Rödel, M.-O. and Spieler, M.",,,,55281,,,620,,1-21,,,,Stuttgarter Beitrage zur Naturkunde Serie A (Biologie),,,,"Trilingual keys to the Savannah-Anurans of the Comoe National Park, Ivory Coast",Journal Article,,,2000
Assessment,,,"Böhme, W., Meinig, H. and Rödel, M.-O.",,,,55281,,,55,,7-26,,,,British Herpetological Society Bulletin,,,,New records of amphibians and reptiles from Burkina Faso and Mali,Journal Article,,,1996
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,55281,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,"","Inger, R.F.","","",,55281,"","","","",1-190,"","","",Expl. Parc Natn. Garamba,"","",Published,Amphibia,journal article,"",52,1968
Assessment,,"","Largen, M.J.","","",,55281,"","","","",63-115,"","","",Tropical Zoology,"","",Published,"An annotated checklist of the amphibians and reptiles of Eritrea, with keys for their identification",journal article,"",10,1997
Assessment,,,"Barnett, L.K., Emms, C. and Santoni, C.",,,,55281,,,77,,5-14,,,,Herpetological Bulletin,,,,"The herpetofauna of Abuko Nature Reserve, The Gambia",Journal Article,,,2001
Assessment,,,"Laurent, R.F.",,,,55281,,,194,,1-67,,,,"Annales Musée Royal de l'Afrique Centrale, Sciences Zoologiques",,,,Tentative revision of the genus <i>Hemisus</i> Gunther,Journal Article,,,1972
Assessment,,,"Largen, M.J.",,,,55281,,,10,,271-285,,,,Tropical Zoology,,,,"Hemisus microscaphus Laurent 1972, a little-known Ethiopian endemic (Amphibia Anura)",Journal Article,,,1997
Assessment,,,"Rödel, M.-O.",,,,55281,,,39,,91-110,,,,Salamandra,,,,"The amphibians of Mont Sangbé National Park, Ivory Coast",Journal Article,,,2003
Assessment,,"","Largen, M.J.","","",,55281,"","","","",307-402,"","","",Tropical Zoology,"","",Published,"Catalogue of the amphibians of Ethiopia, including a key for their identification",journal article,"",14,2001
Assessment,,,"Mohneke, M., A.B. Onadeko, M. Hirschfeld & M.-O. Rödel",,,,55281,,,3,,117-127,,,,TRAFFIC Bulletin,,,Published,<i>Dried or fried: amphibians in local and regional food markets in West Africa</i>,journal article,,22,2010
Assessment,,"","Lanza, B.","","",,55281,"","","","",407-465,"","","",Biogeographica,"","",Published,Amphibians and reptiles of the Somali Democratic Republic: checklist and biogeography,journal article,"",14,1990
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,55281,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,55281,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Pickersgill, M.","","",,55281,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,56059,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,56059,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,56059,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,56059,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Backwell, P.R.Y.",,,,56059,,,44,,1-7,,,,Herpetologica,,,,"Functional partitioning in the two-part call of the leaf-folding frog, Afrixalus brachycnemis",Journal Article,,,1988
Assessment,,,"Pickersgill, M.",,,,56059,,,13,,203-220,,,,Durban Museum Novitates,,,,Three new <i>Afrixalus</i> (Anura: Hyperoliidae) from south-eastern Africa,Journal Article,,,1984
Assessment,,,"Backwell, P.R.Y. and Passmore, N.I.",,,,56059,,,46,,7-10,,,,Herpetologica,,,,"Polyandry in the leaf-folding frog, Afrixalus delicatus",Journal Article,,,1990
